school,famsize,Medu,Fedu,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,freetime,goout,absences,G1,G2,G3,source,Pass
GP,GT3,1,1,course,father,1,2,0,no,yes,no,no,no,yes,yes,3,3,4,5,5,6,mat,0
GP,LE3,1,1,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,3,2,10,7,8,10,mat,1
GP,GT3,4,2,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,2,2,2,15,14,15,mat,1
GP,GT3,3,3,home,father,1,2,0,no,yes,yes,no,yes,yes,no,3,2,4,6,10,10,mat,1
GP,LE3,4,3,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,2,10,15,15,15,mat,1
GP,LE3,2,2,home,mother,1,2,0,no,no,no,no,yes,yes,yes,4,4,0,12,12,11,mat,1
GP,GT3,4,4,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,1,4,6,6,5,6,mat,0
GP,LE3,3,2,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,2,2,0,16,18,19,mat,1
GP,GT3,3,4,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,5,1,0,14,15,15,mat,1
GP,GT3,4,4,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,3,3,0,10,8,9,mat,0
GP,GT3,2,1,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,2,2,4,10,12,12,mat,1
GP,LE3,4,4,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,3,3,2,14,14,14,mat,1
GP,GT3,4,3,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,4,3,2,10,10,11,mat,1
GP,GT3,2,2,home,other,1,3,0,no,yes,no,no,yes,yes,yes,5,2,0,14,16,16,mat,1
GP,GT3,4,4,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,4,4,4,14,14,14,mat,1
GP,GT3,4,4,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,2,3,6,13,14,14,mat,1
GP,GT3,3,3,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,3,2,4,8,10,10,mat,1
GP,GT3,3,2,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,5,5,16,6,5,5,mat,0
GP,LE3,4,3,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,1,3,4,8,10,10,mat,1
GP,GT3,4,3,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,4,1,0,13,14,15,mat,1
GP,GT3,4,4,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,4,2,0,12,15,15,mat,1
GP,LE3,4,2,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,5,1,2,15,15,16,mat,1
GP,LE3,2,2,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,4,4,0,13,13,12,mat,1
GP,GT3,2,4,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,3,2,2,10,9,8,mat,0
GP,GT3,2,2,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,2,2,14,6,9,8,mat,0
GP,GT3,2,2,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,2,2,2,12,12,11,mat,1
GP,GT3,4,2,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,2,4,4,15,16,15,mat,1
GP,LE3,3,4,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,3,3,4,11,11,11,mat,1
GP,GT3,4,4,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,5,16,10,12,11,mat,1
GP,GT3,4,4,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,4,2,0,9,11,12,mat,1
GP,GT3,4,4,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,3,1,0,17,16,17,mat,1
GP,GT3,4,3,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,5,2,0,17,16,16,mat,1
GP,LE3,3,3,course,mother,1,2,0,no,no,no,yes,no,yes,yes,3,2,0,8,10,12,mat,1
GP,GT3,3,2,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,4,3,0,12,14,15,mat,1
GP,GT3,2,3,other,father,2,1,0,no,yes,no,yes,yes,yes,no,5,1,0,8,7,6,mat,0
GP,LE3,4,3,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,2,15,16,18,mat,1
GP,GT3,4,4,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,4,3,7,15,16,15,mat,1
GP,GT3,3,4,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,3,2,2,12,12,11,mat,1
GP,GT3,2,2,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,3,1,8,14,13,13,mat,1
GP,LE3,2,2,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,3,3,25,7,10,11,mat,1
GP,LE3,4,4,home,other,1,1,0,no,yes,no,no,no,yes,yes,4,3,8,12,12,12,mat,1
GP,GT3,4,4,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,3,3,2,19,18,18,mat,1
GP,GT3,2,2,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,4,1,0,8,8,11,mat,1
GP,LE3,2,2,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,3,3,14,10,10,9,mat,0
GP,LE3,4,3,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,2,2,8,8,8,6,mat,0
GP,LE3,3,3,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,3,5,12,11,12,11,mat,1
GP,GT3,4,3,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,2,2,4,19,19,20,mat,1
GP,GT3,4,2,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,3,3,2,15,15,14,mat,1
GP,GT3,4,4,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,4,4,2,7,7,7,mat,0
GP,LE3,2,2,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,3,3,2,12,13,13,mat,1
GP,LE3,4,2,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,3,3,2,11,13,13,mat,1
GP,LE3,4,2,other,father,2,1,1,no,no,no,no,yes,yes,no,5,5,6,11,11,10,mat,1
GP,GT3,4,4,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,3,4,0,8,10,11,mat,1
GP,LE3,3,3,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,3,4,6,10,13,13,mat,1
GP,GT3,2,1,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,3,4,8,8,9,10,mat,1
GP,GT3,4,3,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,3,2,0,14,15,15,mat,1
GP,GT3,4,4,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,2,2,4,14,15,15,mat,1
GP,LE3,1,2,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,3,2,2,9,10,9,mat,0
GP,GT3,4,2,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,2,3,2,15,16,16,mat,1
GP,GT3,4,4,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,4,4,6,10,11,11,mat,1
GP,GT3,1,1,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,5,5,6,10,8,11,mat,1
GP,LE3,1,2,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,4,3,4,8,10,9,mat,0
GP,GT3,4,3,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,4,4,2,10,9,9,mat,0
GP,LE3,4,3,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,0,10,10,10,mat,1
GP,LE3,4,3,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,4,3,2,16,15,15,mat,1
GP,GT3,4,4,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,3,3,4,13,13,12,mat,1
GP,GT3,3,1,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,3,3,4,7,7,6,mat,0
GP,LE3,2,2,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,1,3,2,8,9,8,mat,0
GP,LE3,3,1,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,4,2,12,16,16,16,mat,1
GP,GT3,3,1,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,3,2,0,13,15,15,mat,1
GP,GT3,4,2,course,mother,1,4,0,no,no,no,no,yes,yes,yes,3,3,0,10,10,10,mat,1
GP,GT3,1,1,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,3,4,2,8,6,5,mat,0
GP,GT3,3,1,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,3,2,2,12,12,14,mat,1
GP,GT3,3,3,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,3,3,54,11,12,11,mat,1
GP,GT3,4,3,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,3,3,6,9,9,10,mat,1
GP,GT3,4,0,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,4,3,8,11,11,10,mat,1
GP,GT3,2,2,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,2,3,0,11,11,11,mat,1
GP,GT3,2,1,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,5,1,2,8,8,10,mat,1
GP,GT3,3,4,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,4,3,12,5,5,5,mat,0
GP,GT3,2,3,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,2,2,2,10,12,12,mat,1
GP,GT3,2,3,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,3,2,4,11,10,11,mat,1
GP,LE3,3,2,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,4,4,10,7,6,6,mat,0
GP,LE3,2,2,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,3,3,4,15,15,15,mat,1
GP,GT3,1,1,home,father,1,2,0,no,yes,no,yes,no,yes,yes,3,2,2,9,10,10,mat,1
GP,GT3,4,4,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,4,4,6,7,9,8,mat,0
GP,LE3,2,2,course,mother,1,2,0,no,yes,no,no,yes,yes,no,3,4,4,8,7,6,mat,0
GP,GT3,4,2,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,3,3,4,13,14,14,mat,1
GP,GT3,2,2,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,4,2,12,11,10,10,mat,1
GP,LE3,4,4,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,1,3,18,8,6,7,mat,0
GP,GT3,3,3,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,3,3,0,7,7,8,mat,0
GP,GT3,4,3,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,5,5,4,16,17,18,mat,1
GP,LE3,3,1,home,father,1,2,0,yes,yes,no,no,yes,yes,no,3,3,4,7,6,6,mat,0
GP,GT3,4,2,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,3,3,0,11,10,10,mat,1
GP,LE3,2,2,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,3,4,6,11,13,14,mat,1
GP,GT3,1,1,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,1,2,2,7,10,10,mat,1
GP,GT3,4,3,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,3,3,2,11,15,15,mat,1
GP,GT3,2,1,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,3,5,2,8,9,10,mat,1
GP,GT3,4,4,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,3,4,6,11,14,14,mat,1
GP,GT3,4,3,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,3,5,0,7,9,8,mat,0
GP,GT3,4,4,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,5,5,14,7,7,5,mat,0
GP,GT3,4,4,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,0,16,17,17,mat,1
GP,GT3,4,4,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,3,3,4,10,13,14,mat,1
GP,GT3,3,2,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,3,5,26,7,6,6,mat,0
GP,GT3,3,4,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,0,16,18,18,mat,1
GP,GT3,3,3,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,3,3,10,10,11,11,mat,1
